Facility Name,Address,County,City,Zip,Number of Beds,Location
Peregrine's Landing Senior Community,575 Cayuga Creek Road,Erie,Cheektowaga,14227,112,"575 Cayuga Creek Road
Cheektowaga, NY 14227
(42.87761199000005, -78.76478998899995)"
Bridges Cornell Heights - The Colonial,403 Wyckoff Avenue,Tompkins,Ithaca,14850,13,"403 Wyckoff Avenue
Ithaca, NY 14850
(42.45585201400007, -76.48383198099998)"
The Ambassador at Scarsdale,9 Saxon Woods Road,Westchester,White Plains,10605,138,"9 Saxon Woods Road
White Plains, NY 10605
(40.98894509400003, -73.74650353999994)"
Ghent Assisted Living,30 Whittier Way,Columbia,Ghent,12075,80,"30 Whittier Way
Ghent, NY 12075
(42.282022261000066, -73.70570115399994)"
Long Beach Assisted Living,274 West Broadway,Nassau,Long Beach,11561,200,"274 West Broadway
Long Beach, NY 11561
(40.58432198200006, -73.67221199599999)"
Vista on 5th,1261 Fifth Avenue,New York,New York,10029,127,"1261 Fifth Avenue
New York, NY 10029
(40.79530999100007, -73.95012195899994)"
New South Shore Manor,1041 East 83rd Street,Kings,Brooklyn,11236,74,"1041 East 83rd Street
Brooklyn, NY 11236
(40.63466000400007, -73.90831998299996)"
Atria Penfield,2006 Five Mile Line Road,Monroe,Penfield,14526,120,"2006 Five Mile Line Road
Penfield, NY 14526
(43.138142998000035, -77.47404001499996)"
GreenField Terrace,5979 Broadway Street,Erie,Lancaster,14086,56,"5979 Broadway Street
Lancaster, NY 14086
(42.89420400900008, -78.62832799499995)"
"Woodside Hall, LLC",1 Main Street,Otsego,Cooperstown,13326,37,"1 Main Street
Cooperstown, NY 13326
(42.69900000300004, -74.91612003899996)"
Gurwin Jewish Fay J. Lindner Residence,50 Hauppauge Road,Suffolk,Commack,11725,65,"50 Hauppauge Road
Commack, NY 11725
(40.82965601300003, -73.29795901399996)"
The Knolls,55 Grasslands Road,Westchester,Valhalla,10595,12,"55 Grasslands Road
Valhalla, NY 10595
(41.06998898100005, -73.78337497499996)"
Leroy Manor,8678 Lake Street Road,Genesee,Leroy,14482,79,"8678 Lake Street Road
Leroy, NY 14482
(42.99330999700004, -77.98936998399995)"
Ahana House,31 Sixth Street,Saratoga,Waterford,12188,17,"31 Sixth Street
Waterford, NY 12188
(42.79321100200008, -73.68076597999993)"
Masonic Home,2150 Bleecker Street,Oneida,Utica,13501,96,"2150 Bleecker Street
Utica, NY 13501
(43.08905999800004, -75.18953000899995)"
The Bristal at East Northport,760 Larkfield Road,Suffolk,East Northport,11731,166,"760 Larkfield Road
East Northport, NY 11731
(40.838234011000054, -73.31337500999996)"
Somerset Gardens,150 Sunnyside Boulevard,Nassau,Plainview,11803,160,"150 Sunnyside Boulevard
Plainview, NY 11803
(40.79512600800007, -73.46995398999996)"
Home of the Good Shepherd,390 Church Street,Saratoga,Saratoga Springs,12866,42,"390 Church Street
Saratoga Springs, NY 12866
(43.08563402100003, -73.81921901099997)"
Park Terrace at Radisson,2981 Town Center Road,Onondaga,Baldwinsville,13027,65,"2981 Town Center Road
Baldwinsville, NY 13027
(43.17797698700008, -76.29974300799995)"
Foltsbrook Center for Senior Living,104 North Washington Street,Herkimer,Herkimer,13350,80,"104 North Washington Street
Herkimer, NY 13350
(43.02723000900005, -74.98471996499995)"
The Athenaeum of Skaneateles,150 Genesee Street,Onondaga,Skaneateles,13152,16,"150 Genesee Street
Skaneateles, NY 13152
(42.94427100200005, -76.41890399899995)"
The Bristal at Garden City,1001 Axinn Avenue,Nassau,Garden City,11530,170,"1001 Axinn Avenue
Garden City, NY 11530
(40.74024974400004, -73.60642751399996)"
Marjorie Doyle Rockwell Center,18 Pasinella Way,Albany,Cohoes,12047,52,"18 Pasinella Way
Cohoes, NY 12047
(42.775695004000056, -73.72562902699997)"
Elderwood Assisted Living at Wheatfield,2600 Niagara Falls Boulevard,Niagara,Niagara Falls,14304,65,"2600 Niagara Falls Boulevard
Niagara Falls, NY 14304
(43.08956299600004, -78.90724797699994)"
The Terrace at Newark,208 Route 88 South,Wayne,Newark,14513,71,"208 Route 88 South
Newark, NY 14513
(43.019719991000045, -77.09233996299997)"
Gurwin Jewish Fay J. Lindner Residence,50 Hauppauge Road,Suffolk,Commack,11725,200,"50 Hauppauge Road
Commack, NY 11725
(40.82965601300003, -73.29795901399996)"
The Arbors at Hauppauge,1740 Express Drive South,Suffolk,Hauppauge,11788,200,"1740 Express Drive South
Hauppauge, NY 11788
(40.805839003000074, -73.23090303399994)"
Harbor House,150 South Street,Nassau,Oyster Bay,11771,136,"150 South Street
Oyster Bay, NY 11771
(40.87091400300005, -73.53148897799997)"
The Avalon Assisted Living and Wellness Center,1629 Route 376,Dutchess,Wappingers Falls,12590,76,"1629 Route 376
Wappingers Falls, NY 12590
(41.62760498100005, -73.87631200899995)"
Elderwood Village at Greece,1404 Long Pond Road,Monroe,Rochester,14626,72,"1404 Long Pond Road
Rochester, NY 14626
(43.200208015000044, -77.69739996499999)"
Ideal Senior Living Center,600 High Avenue,Broome,Endicott,13760,70,"600 High Avenue
Endicott, NY 13760
(42.091462017000026, -76.06809897199997)"
Maryville Assisted Living,70 Greenlawn Road,Suffolk,Huntington,11743,32,"70 Greenlawn Road
Huntington, NY 11743
(40.87329199100003, -73.39338102999994)"
The New Village View SP LLC,1 Grove Street,Ulster,Highland,12528,80,"1 Grove Street
Highland, NY 12528
(41.719989018000035, -73.96608797599998)"
The Bristal at Mount Sinai,400 Sutton Court,Suffolk,Mount Sinai,11766,157,"400 Sutton Court
Mount Sinai, NY 11766
(40.91855910000004, -73.00273799999997)"
Alpine Manor,2714 Poplar Hill Road,Livingston,Lima,14485,41,"2714 Poplar Hill Road
Lima, NY 14485
(42.86842001700006, -77.66069996999994)"
The Country House in Westchester,2000 Baldwin Road,Westchester,Yorktown Heights,10598,100,"2000 Baldwin Road
Yorktown Heights, NY 10598
(41.27677698700006, -73.79337299299993)"
New Monsey Park Home,15 Monsey Boulevard,Rockland,Monsey,10952,263,"15 Monsey Boulevard
Monsey, NY 10952
(41.11441998300006, -74.06075402799996)"
Frederic Fleming Residence,443-445 West 22nd Street,New York,New York,10011,47,"443-445 West 22nd Street
New York, NY 10011
(40.74651000600005, -74.00313196399998)"
The Bristal at Lake Success,69 North Service Road,Nassau,Lake Success,11020,110,"69 North Service Road
Lake Success, NY 11020
(40.77044201600006, -73.70591797599997)"
Bridges Cornell Heights - The Tudor,407 Wyckoff Avenue,Tompkins,Ithaca,14850,15,"407 Wyckoff Avenue
Ithaca, NY 14850
(42.45592799600007, -76.48418796099998)"
Peregrine's Landing at Orchard Park,101 Sterling Drive,Erie,Orchard Park,14127,52,"101 Sterling Drive
Orchard Park, NY 14127
(42.78993598300008, -78.76566002999994)"
The Bristal at White Plains,305 North Street,Westchester,White Plains,10605,190,"305 North Street
White Plains, NY 10605
(41.02684099700008, -73.74771500599996)"
"Central Assisted Living, LLC",1509 Central Avenue,Queens,Far Rockaway,11691,186,"1509 Central Avenue
Far Rockaway, NY 11691
(40.60564001100005, -73.75121503799994)"
Keene Valley Neighborhood House,1782 Route 73,Essex,Keene Valley,12943,50,"1782 Route 73
Keene Valley, NY 12943
(44.18921999400004, -73.78505998899993)"
New Haven Manor,1526 New Haven Avenue,Queens,Far Rockaway,11691,123,"1526 New Haven Avenue
Far Rockaway, NY 11691
(40.599500016000036, -73.74937202499996)"
Woodhaven Home for Adults,1350 Route 112,Suffolk,Port Jefferson Sta.,11776,181,"1350 Route 112
Port Jefferson Sta., NY 11776
(40.915930984000056, -73.03592596799996)"
Fairport Baptist Homes Adult Care Facility,4646 Nine Mile Point Road,Monroe,Fairport,14450,42,"4646 Nine Mile Point Road
Fairport, NY 14450
(43.10964301800004, -77.44022498699997)"
Brookdale Hospital Medical Center ALP,558-578 Rockaway Parkway,Kings,Brooklyn,11212,43,"558-578 Rockaway Parkway
Brooklyn, NY 11212
(40.65453777000005, -73.91289436199997)"
Brookdale Lakewood,220 Southwestern Drive,Chautauqua,Lakewood,14750,100,"220 Southwestern Drive
Lakewood, NY 14750
(42.09439400700006, -79.29788196399994)"
Five Star Premier Residences of Yonkers,537 Riverdale Avenue,Westchester,Yonkers,10705,40,"537 Riverdale Avenue
Yonkers, NY 10705
(40.91373400300006, -73.90327600499995)"
Pine Harbour,15 New Hampshire Street,Clinton,Plattsburgh,12903,66,"15 New Hampshire Street
Plattsburgh, NY 12903
(44.67639575800007, -73.44324231599995)"
Keepsake Village at Greenpoint,138 Old Liverpool Road,Onondaga,Liverpool,13088,57,"138 Old Liverpool Road
Liverpool, NY 13088
(43.084014008000054, -76.17953897299998)"
Bronxwood,799 East Gun Hill Road,Bronx,Bronx,10467,320,"799 East Gun Hill Road
Bronx, NY 10467
(40.87621999900006, -73.86228497799993)"
Presbyterian Residential Community,4300 Middle Settlement Road,Oneida,New Hartford,13413,96,"4300 Middle Settlement Road
New Hartford, NY 13413
(43.073242710000045, -75.34258272099999)"
Garden of Eden Assisted Living Program,1608-1620 Stillwell Avenue,Kings,Brooklyn,11223,201,"1608-1620 Stillwell Avenue
Brooklyn, NY 11223
(40.60687998800006, -73.98738798399995)"
Sue's Rest,396 Canisteo Street,Steuben,Hornell,14843,14,"396 Canisteo Street
Hornell, NY 14843
(42.31516700800006, -77.66026100999994)"
Garden House,2720 North Forest Road,Erie,Getzville,14068,48,"2720 North Forest Road
Getzville, NY 14068
(43.015885593000064, -78.78637756199998)"
St. Francis Commons,12 Burkle Street,Oswego,Oswego,13126,60,"12 Burkle Street
Oswego, NY 13126
(43.44766300300006, -76.49252803799999)"
Marchand Manor,"121 Main Street, Route 10",Schoharie,Sharon Springs,13459,36,"121 Main Street, Route 10
Sharon Springs, NY 13459
(42.79101599100005, -74.62050498199994)"
NY Found-Sr Citizens EHP#3,1850 Second Avenue,New York,New York,10128,39,"1850 Second Avenue
New York, NY 10128
(40.783900000000074, -73.94702903599995)"
Seneca Lake Terrace Assisted Living Center,3670 Pre-emption Road County Rd. #6,Ontario,Geneva,14456,66,"3670 Pre-emption Road County Rd. #6
Geneva, NY 14456
(42.852631795000036, -77.01061632299997)"
"Tanglewood Manor, Inc.",560 Fairmount Avenue,Chautauqua,Jamestown,14701,158,"560 Fairmount Avenue
Jamestown, NY 14701
(42.09747402100004, -79.27216502799996)"
Elizabeth Brewster House,41 South Main Street,Cortland,Homer,13077,45,"41 South Main Street
Homer, NY 13077
(42.63530998600004, -76.17772001599997)"
Brookdale Pittsford,159 Sully's Trail,Monroe,Pittsford,14534,52,"159 Sully's Trail
Pittsford, NY 14534
(43.05800999200005, -77.46767001999996)"
Wolk Manor Enriched Living Center,4000 Summit Circle Drive,Monroe,Rochester,14618,85,"4000 Summit Circle Drive
Rochester, NY 14618
(43.106220017000055, -77.58405802699997)"
Heathwood Assisted Living at Penfield,100 Elderwood Court,Monroe,Penfield,14526,151,"100 Elderwood Court
Penfield, NY 14526
(43.13647998600004, -77.44125797299995)"
Hampshire House Adult Home,1846 County Highway 48,Otsego,Oneonta,13820,65,"1846 County Highway 48
Oneonta, NY 13820
(42.43760000100008, -75.08223997199997)"
The Bristal at Holtsville,5535 Expressway Drive North,Suffolk,Holtsville,11742,166,"5535 Expressway Drive North
Holtsville, NY 11742
(40.82366363800003, -73.02468141399999)"
The New Jewish Home University Avenue Assisted Living,2553 University Avenue,Bronx,Bronx,10468,72,"2553 University Avenue
Bronx, NY 10468
(40.86725999600003, -73.90214696199996)"
"Mariners Residence, Inc.",2099 Forest Avenue,Richmond,Staten Island,10303,270,"2099 Forest Avenue
Staten Island, NY 10303
(40.62696998500007, -74.15902102999996)"
The Mansion at South Union,11 South Union Street,Washington,Cambridge,12816,44,"11 South Union Street
Cambridge, NY 12816
(43.02654998500003, -73.38574000299997)"
Echo Arms Adult Home,204 Patchogue Road,Suffolk,Port Jefferson Stat.,11776,49,"204 Patchogue Road
Port Jefferson Stat., NY 11776
(40.93145179600003, -73.05272483599998)"
Pineview Commons H.F.A.,201 South Melcher Street,Fulton,Johnstown,12095,94,"201 South Melcher Street
Johnstown, NY 12095
(43.001820018000046, -74.37669997799998)"
Castle Senior Living at Forest Hills,108-25 Horace Harding Expressway,Queens,Forest Hills,11368,20,"108-25 Horace Harding Expressway
Forest Hills, NY 11368
(40.73851999900006, -73.85142203099997)"
Dawn Hill Adult Home,65 Lisa Drive,Suffolk,North Port,11768,30,"65 Lisa Drive
North Port, NY 11768
(40.89215399700004, -73.34924796299998)"
"Seaview Manor, LLC",210 Beach 47th Street,Queens,Far Rockaway,11691,118,"210 Beach 47th Street
Far Rockaway, NY 11691
(40.59315001200008, -73.77776899099996)"
The Cloisters,171 North Maple Street,Wyoming,Warsaw,14569,48,"171 North Maple Street
Warsaw, NY 14569
(42.745887992000064, -78.13947302199995)"
Elderwood Village at Vestal,505 Clubhouse Road,Broome,Vestal,13850,116,"505 Clubhouse Road
Vestal, NY 13850
(42.08652398600003, -75.95373796099994)"
Gallagher Home,517 North Lake Boulevard,Putnam,Mahopac,10541,16,"517 North Lake Boulevard
Mahopac, NY 10541
(41.39063001200003, -73.73454996999999)"
Oceanview Manor Home for Adults,3010 West 33rd Street,Kings,Brooklyn,11224,176,"3010 West 33rd Street
Brooklyn, NY 11224
(40.57234998400003, -73.99925198099999)"
Massry Residence at Daughters of Sarah,182 Washington Ave. Extension,Albany,Albany,12203,70,"182 Washington Ave. Extension
Albany, NY 12203
(42.69953598400008, -73.85353200799995)"
The Terraces at Brookmeade,54 Brookmeade Drive,Dutchess,Rhinebeck,12572,29,"54 Brookmeade Drive
Rhinebeck, NY 12572
(41.92689701100005, -73.89245396199993)"
The Hamlet at Park Ridge,1471 Long Pond Road,Monroe,Rochester,14626,66,"1471 Long Pond Road
Rochester, NY 14626
(43.195108004000076, -77.70481400999995)"
St. Joseph's Home,125 Sisters Servants Lane P.O. Box 8,Rockland,Sloatsburg,10974,31,"125 Sisters Servants Lane P.O. Box 8
Sloatsburg, NY 10974
(41.144934008000064, -74.22667296299994)"
The Eliot at Erie Station ALP,10 - 18 John Street,Orange,Middletown,10940,96,"10 - 18 John Street
Middletown, NY 10940
(41.44771601100007, -74.42029098699999)"
Sachem Adult Home,1298 Coates Avenue,Suffolk,Holbrook,11741,46,"1298 Coates Avenue
Holbrook, NY 11741
(40.79774899900008, -73.08044896099995)"
Assisted Living at Jennings Hall,260 Powers Street,Kings,Brooklyn,11211,40,"260 Powers Street
Brooklyn, NY 11211
(40.712739989000056, -73.94001396999994)"
The Terrace at the Glen at Hiland Meadows,71 Longview Drive,Warren,Queensbury,12804,52,"71 Longview Drive
Queensbury, NY 12804
(43.35272998700003, -73.64150003199995)"
North Brook Heights Home for Adults,170 Murray Street Extension,Cayuga,Auburn,13021,178,"170 Murray Street Extension
Auburn, NY 13021
(42.949786001000064, -76.55493197799996)"
VillageCare at 46 and Ten,510 West 46th Street,New York,New York,10036,89,"510 West 46th Street
New York, NY 10036
(40.76231001900004, -73.99421202699995)"
Rodden Home,15 Wittridge Street,Suffolk,Lake Ronkonkoma,11779,23,"15 Wittridge Street
Lake Ronkonkoma, NY 11779
(40.81969399500008, -73.10941103499994)"
The Amsterdam at Harborside,300 East Overlook,Nassau,Port Washington,11050,55,"300 East Overlook
Port Washington, NY 11050
(40.82670901900008, -73.66412002299995)"
Whisper Woods of Smithtown,71 St. Johnland Road,Suffolk,Smithtown,11787,136,"71 St. Johnland Road
Smithtown, NY 11787
(40.86789058700003, -73.22001629799996)"
Park Creek Senior Living Community,410 Mill Street,Erie,Amherst,14221,94,"410 Mill Street
Amherst, NY 14221
(42.97546999700006, -78.74715899099994)"
"Hawthorne Ridge, Inc.",30 Community Way,Rensselaer,East Greenbush,12061,66,"30 Community Way
East Greenbush, NY 12061
(42.61488798200003, -73.69638800299998)"
Maple House,15 Maple Place,Westchester,Ossining,10562,25,"15 Maple Place
Ossining, NY 10562
(41.16018199000007, -73.86238497399995)"
Ken-Ton Presbyterian Village EHP,3735 Delaware Avenue,Erie,Kenmore,14217,49,"3735 Delaware Avenue
Kenmore, NY 14217
(42.985805009000046, -78.87251596799996)"
Elderwood Assisted Living at Waverly,44 Ball Street,Tioga,Waverly,14892,40,"44 Ball Street
Waverly, NY 14892
(42.012028592000036, -76.52986964399997)"
Grande'ville Senior Living Community,555 Maiden Lane,Monroe,Rochester,14616,115,"555 Maiden Lane
Rochester, NY 14616
(43.22305000100005, -77.65707001899995)"
New Rochelle Home for Adults,41 Lockwood Ave.,Westchester,New Rochelle,10801,250,"41 Lockwood Ave.
New Rochelle, NY 10801
(40.91455098700004, -73.78656001499996)"
Culinarians' Home Foundation,71 Old Tschirky Road,Ulster,New Paltz,12561,18,"71 Old Tschirky Road
New Paltz, NY 12561
(41.80494289100005, -74.06360887199997)"
Atria Plainview,12 Washington Avenue,Nassau,Plainview,11803,99,"12 Washington Avenue
Plainview, NY 11803
(40.778861009000025, -73.46549699699995)"
Brookdale Williamsville,6076 Main Street,Erie,Williamsville,14221,52,"6076 Main Street
Williamsville, NY 14221
(42.966901009000026, -78.72708299099997)"
"Lakeside Manor Home for Adults, Inc.",797 Brighton Avenue,Richmond,Staten Island,10301,200,"797 Brighton Avenue
Staten Island, NY 10301
(40.63246998000005, -74.09698497199997)"
Atria on the Hudson,321 North Highland Avenue,Westchester,Ossining,10562,185,"321 North Highland Avenue
Ossining, NY 10562
(41.178905988000054, -73.87074198299996)"
Promenade at Middletown,70 Fulton Street,Orange,Middletown,10940,200,"70 Fulton Street
Middletown, NY 10940
(41.44141605900006, -74.42043654399998)"
Eden Heights of Olean,161 South Twenty-Fifth Street,Cattaraugus,Olean,14760,120,"161 South Twenty-Fifth Street
Olean, NY 14760
(42.074399019000055, -78.45863804099997)"
Brookdale Liverpool,4055 Long Branch Road,Onondaga,Liverpool,13090,80,"4055 Long Branch Road
Liverpool, NY 13090
(43.12581401500006, -76.23359101599993)"
Good Shepherd Village at Endwell,14 Village Drive,Broome,Endwell,13760,32,"14 Village Drive
Endwell, NY 13760
(42.14747199000004, -76.02171997399995)"
Atria West 86,333 West 86th Street,New York,New York,10024,189,"333 West 86th Street
New York, NY 10024
(40.78967001800004, -73.97933004099997)"
St. Nicholas Home,437 Ovington Avenue,Kings,Brooklyn,11209,75,"437 Ovington Avenue
Brooklyn, NY 11209
(40.63336001300007, -74.02265199199996)"
Chai Home,125-02 Ocean Promenade,Queens,Belle Harbor,11694,71,"125-02 Ocean Promenade
Belle Harbor, NY 11694
(40.57513000900008, -73.84365703599997)"
Old Peoples Russian Orthodox Convent,100 Smith Road,Rockland,Nanuet,10954,76,"100 Smith Road
Nanuet, NY 10954
(41.11068701900007, -74.02399100099996)"
Family Srvs/Rochester EHP1 Danforth Towers East,140 West Avenue,Monroe,Rochester,14611,28,"140 West Avenue
Rochester, NY 14611
(43.15074301000004, -77.64157900499998)"
The Women's Christian Association,134 Temple Street,Chautauqua,Fredonia,14063,42,"134 Temple Street
Fredonia, NY 14063
(42.44387599300006, -79.33732401499998)"
The Courtyards LLC,5285 South Park Avenue,Erie,Hamburg,14075,133,"5285 South Park Avenue
Hamburg, NY 14075
(42.75306101600006, -78.82597000299995)"
Brookdale East Niskayuna,2861 Troy-Schenectady Road,Schenectady,Niskayuna,12309,52,"2861 Troy-Schenectady Road
Niskayuna, NY 12309
(42.77971798200008, -73.84269797899998)"
Cobbs Hill Manor,1175 Monroe Avenue,Monroe,Rochester,14620,118,"1175 Monroe Avenue
Rochester, NY 14620
(43.13716700900005, -77.57978400999997)"
Meadowbrook Terrace Assisted Living Facility,21957 Cole Road,Jefferson,Carthage,13619,60,"21957 Cole Road
Carthage, NY 13619
(43.98722300000003, -75.64772498599996)"
Maryville Home For Adults,7678 County Road 70,Steuben,Avoca,14809,14,"7678 County Road 70
Avoca, NY 14809
(42.37267101300006, -77.50728800799999)"
RiverSpring Assisted Living,5901 Palisades Avenue,Bronx,Bronx,10471,35,"5901 Palisades Avenue
Bronx, NY 10471
(40.91021000000006, -73.90875097999998)"
Elderwood Village at Colonie,626 Watervliet-Shaker Road,Albany,Latham,12110,94,"626 Watervliet-Shaker Road
Latham, NY 12110
(42.73529498500005, -73.76925599499998)"
"Hedgewood ALP, LLC",355 Fishkill Avenue,Dutchess,Beacon,12508,192,"355 Fishkill Avenue
Beacon, NY 12508
(41.50858199800007, -73.95555301299999)"
Loretto Village Apts. Enriched Housing Site #5,750 East Brighton Avenue,Onondaga,Syracuse,13205,79,"750 East Brighton Avenue
Syracuse, NY 13205
(43.00839298100004, -76.13719502299995)"
Blocher Homes,135 Evans Street,Erie,Williamsville,14221,65,"135 Evans Street
Williamsville, NY 14221
(42.96757701000007, -78.73833200799999)"
Woodbrook,1250 Maple Avenue,Chemung,Elmira,14904,80,"1250 Maple Avenue
Elmira, NY 14904
(42.067580005000025, -76.78957002999994)"
"Evergreen Court Home for Adults SP, LLC",65 Lafayette Street,Rockland,Spring Valley,10977,200,"65 Lafayette Street
Spring Valley, NY 10977
(41.11435799900005, -74.04000496199995)"
Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,91,"1150 Hempstead Turnpike
Franklin Square, NY 11010
(40.708721998000044, -73.68272700999995)"
Sunrise of Plainview,1231 Old Country Road,Nassau,Plainview,11803,65,"1231 Old Country Road
Plainview, NY 11803
(40.77597801100006, -73.46045603699997)"
The Arbors at Islandia East,1515A Veterans Memorial Highway,Suffolk,Islandia,11749,200,"1515A Veterans Memorial Highway
Islandia, NY 11749
(40.81015958100005, -73.18635644399995)"
Crestview Manor ALP,150 Old Saw Mill River Road,Westchester,Hawthorne,10532,76,"150 Old Saw Mill River Road
Hawthorne, NY 10532
(41.085429211000076, -73.82182344499995)"
Sarah Jane Sanford Home,69 Guy Park Avenue,Montgomery,Amsterdam,12010,40,"69 Guy Park Avenue
Amsterdam, NY 12010
(42.94167001400007, -74.19428000899995)"
The New Swan Lake Adult Home LLC,Route 55 Box 247,Sullivan,Swan Lake,12783,27,"Route 55 Box 247
Swan Lake, NY 12783
(41.73240411900008, -74.79274598099994)"
Brookdale Niagara Memory Care,6751 Nash Road,Niagara,North Tonawanda,14120,40,"6751 Nash Road
North Tonawanda, NY 14120
(43.09669499000006, -78.86486303899994)"
Sunrise of New City,233 North Main Street,Rockland,New City,10956,120,"233 North Main Street
New City, NY 10956
(41.159480005000034, -73.98947499399998)"
Brandywine Assisted Living at The Savoy,55-15 Little Neck Parkway,Queens,Little Neck,11362,160,"55-15 Little Neck Parkway
Little Neck, NY 11362
(40.76509000300007, -73.72405599499996)"
The Springvale Inn,62 Springvale Rd.,Westchester,Croton-on-Hudson,10520,125,"62 Springvale Rd.
Croton-on-Hudson, NY 10520
(41.23245840300007, -73.91655669199997)"
Elderwood Assisted Living at Hamburg,76 Buffalo Street,Erie,Hamburg,14075,103,"76 Buffalo Street
Hamburg, NY 14075
(42.71812499200007, -78.82968704199999)"
Village Green A Carlisle Assisted Living Community,90 Schoolhouse Road,Nassau,Levittown,11756,77,"90 Schoolhouse Road
Levittown, NY 11756
(40.72927097300004, -73.53176541899995)"
The Hearth on James,830 James Street,Onondaga,Syracuse,13203,60,"830 James Street
Syracuse, NY 13203
(43.056418981000036, -76.13949099399997)"
Brooklyn Adult Care Center,2830 Pitkin Avenue,Kings,Brooklyn,11208,210,"2830 Pitkin Avenue
Brooklyn, NY 11208
(40.67587998300007, -73.86744596699998)"
Kalet's Adult Home,504 Delaware Street,Onondaga,Syracuse,13204,45,"504 Delaware Street
Syracuse, NY 13204
(43.03769598900004, -76.16949996699998)"
The Vincent Bove Center at Jefferson Ferry,One Jefferson Ferry Drive,Suffolk,South Setauket,11720,87,"One Jefferson Ferry Drive
South Setauket, NY 11720
(40.89900315600005, -73.07687958699995)"
Mount Alverno Center,20 Grand Street,Orange,Warwick,10990,85,"20 Grand Street
Warwick, NY 10990
(41.26327001100003, -74.36087100499998)"
The Arbors at Islandia West,1515 Veterans Memorial Highway,Suffolk,Islandia,11749,200,"1515 Veterans Memorial Highway
Islandia, NY 11749
(40.81015958100005, -73.18635644399995)"
The New Falls,117 Schuyler Street,Schuyler,Montour Falls,14865,111,"117 Schuyler Street
Montour Falls, NY 14865
(42.34628000400005, -76.84978000699994)"
Hilltop Manor West,286 Deyo Hill Road,Broome,Johnson City,13790,98,"286 Deyo Hill Road
Johnson City, NY 13790
(42.14486999500008, -75.95853199099997)"
Grande'Vie Senior Living,2140 Five Mile Line Road,Monroe,Penfield,14526,178,"2140 Five Mile Line Road
Penfield, NY 14526
(43.128712016000065, -77.47414998599999)"
Carnegie East House,1844 Second Avenue,New York,New York,10128,112,"1844 Second Avenue
New York, NY 10128
(40.78371999800004, -73.94724202099997)"
Brooklyn Terrace,2316 Surf Avenue,Kings,Brooklyn,11224,200,"2316 Surf Avenue
Brooklyn, NY 11224
(40.573629984000036, -73.99018603099995)"
Metro Interfaith Housing,21 New Street,Broome,Binghamton,13903,11,"21 New Street
Binghamton, NY 13903
(42.09027400800005, -75.91084197899994)"
St. Columban's on the Lake,"2546 Lake Road, Route 5",Chautauqua,Silver Creek,14136,57,"2546 Lake Road, Route 5
Silver Creek, NY 14136
(42.53550800600004, -79.23135303899994)"
The Terrace at Glen Eddy,1 Ascot Lane,Schenectady,Niskayuna,12309,53,"1 Ascot Lane
Niskayuna, NY 12309
(42.776418944000056, -73.87838941699994)"
Sage Harbor at Baywinde,100 Kidd Castle Way,Monroe,Webster,14580,88,"100 Kidd Castle Way
Webster, NY 14580
(43.19362398900006, -77.50926102399995)"
Greece Long Pond Senior Housing,1 GBC Parkway,Monroe,Rochester,14626,30,"1 GBC Parkway
Rochester, NY 14626
(43.21408601600007, -77.69366498899996)"
New Fordham Arms Assisted Living,2915 Williamsbridge Road,Bronx,Bronx,10467,35,"2915 Williamsbridge Road
Bronx, NY 10467
(40.868270016000054, -73.86230802799997)"
Atria South Setauket,4089 Nesconset Highway,Suffolk,Centereach,11720,200,"4089 Nesconset Highway
Centereach, NY 11720
(40.90349400000008, -73.07240702799999)"
The Terrace at Woodland,8299 Turin Road,Oneida,Rome,13440,60,"8299 Turin Road
Rome, NY 13440
(43.26470001300004, -75.46434998299998)"
"Eger Harbor House, Inc.",110 Meisner Avenue,Richmond,Staten Island,10306,75,"110 Meisner Avenue
Staten Island, NY 10306
(40.58028001800005, -74.13087200099994)"
Manlius Home for Adults,215 East Pleasant Street,Onondaga,Manlius,13104,39,"215 East Pleasant Street
Manlius, NY 13104
(43.003474019000066, -75.97710896999996)"
The Bristal at East Meadow,40 Merrick Ave.,Nassau,East Meadow,11554,151,"40 Merrick Ave.
East Meadow, NY 11554
(40.72137401900005, -73.57856803299995)"
Apple Gate Adult Home,400 Ohio Street,Orleans,Medina,14103,28,"400 Ohio Street
Medina, NY 14103
(43.22120002100007, -78.39705445299995)"
Elderwood Assisted Living at Tonawanda,111 Ensminger Road,Erie,Tonawanda,14150,120,"111 Ensminger Road
Tonawanda, NY 14150
(42.988683983000044, -78.88806699699995)"
Island Assisted Living,800-820 Front Street,Nassau,Hempstead,11550,200,"800-820 Front Street
Hempstead, NY 11550
(40.70875498000004, -73.60254102999994)"
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,60,"99 South Service Road
North Hills, NY 11040
(40.77034179300006, -73.68789924599997)"
"Millview of Latham, LLC",514 Old Loudon Road,Albany,Cohoes,12047,55,"514 Old Loudon Road
Cohoes, NY 12047
(42.788993729000026, -73.73905505799996)"
The Inn at Menorah Park,4101 East Genesee Street,Onondaga,Syracuse,13214,61,"4101 East Genesee Street
Syracuse, NY 13214
(43.038276016000054, -76.07598701299997)"
